file,line,label,pattern,snippet
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandDetector.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandDetector.java,473,Java 'ij.*' package usage,\bij\.[A-Za-z_],"ImagePlus imp, ij.gui.Roi roi,"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/BandDetector.java,483,Java 'ij.*' package usage,\bij\.[A-Za-z_],"ij.IJ.run(imp, ""RGB Weights..."","
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyBinner.java,111,Java 'ij.*' package usage,\bij\.[A-Za-z_],"public static ij.gui.Overlay createVisualOverlay(List<MutableColony> colonies, double pxPerMM, boolean showLegend) {"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyBinner.java,118,Java 'ij.*' package usage,\bij\.[A-Za-z_],"public static void applyVisualOverlay(ij.ImagePlus image, List<MutableColony> colonies, double pxPerMM, boolean showLegend) {"
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyClassifier.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyClassifier.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.OvalRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyClassifier.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ColorProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyClassifier.java,8,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyDetector.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.IJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyDetector.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyDetector.java,8,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.OvalRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyDetector.java,9,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.measure.ResultsTable;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyDetector.java,10,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.plugin.filter.EDM;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyNormalizer.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyNormalizer.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.OvalRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyNormalizer.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyOverlay.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyOverlay.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.OvalRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyOverlay.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.TextRoi;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyVisualizer.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/com/betterdairy/autodense/analysis/ColonyVisualizer.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
